,index,projectId,name,difficulty,priority,percentMapped,percentValidated,status,lastUpdated,dueDate,country,organisationName,creation_date,totalArea,totalContributors,author,creation_date_datetime,concat,duplicated
2244,11097,10571,Mapping of Meghang Rural Municipality for the Development of Municipal Periodic Plans and Thematic Resource Maps,EASY,LOW,100,100,ARCHIVED,2022-02-22 5:10:26,2021-04-18 18:15:00,['Nepal'],NAXA,2021-03-22 8:23:53,97.827,169,OSMNAXA,2021-03-22 8:23:53,Mapping of Meghang Rural Municipality for the Development of Municipal Periodic Plans and Thematic Resource MapsNAXAOSMNAXA['Nepal'],FALSE
2250,11104,10637,South Sudan COVID Vaccination Pilot (RapiD Test),EASY,LOW,100,100,ARCHIVED,2021-07-28 18:21:29,2021-04-30 6:00:00,['South Sudan'],HOT,2021-04-02 20:50:34,10.145,88,Russell Deffner,2021-04-02 20:50:34,South Sudan COVID Vaccination Pilot (RapiD Test)HOTRussell Deffner['South Sudan'],FALSE
2251,11105,10645,"Mapping for Sustainable Development Goals - Dankassari (Dosso, Niger)",EASY,LOW,100,100,ARCHIVED,2021-10-05 13:24:21,,['Niger'],CartONG,2021-04-06 13:31:05,1803.711,339,Léonie Miège,2021-04-06 13:31:05,"Mapping for Sustainable Development Goals - Dankassari (Dosso, Niger)CartONGLéonie Miège['Niger']",FALSE
2253,11107,10655,"Mapping of Artuch - Penjikent, Tajikistan",EASY,LOW,100,100,ARCHIVED,2022-01-31 12:50:55,,['Tajikistan'],Little Earth,2021-04-07 8:00:03,3.124,54,Anton,2021-04-07 8:00:03,"Mapping of Artuch - Penjikent, TajikistanLittle EarthAnton['Tajikistan']",FALSE
2254,11108,10659,"Missing Maps - vulnerable villages of Tajikistan - Zimtut, Ghazza, Padrud",EASY,LOW,100,100,ARCHIVED,2022-01-31 12:50:36,,['Tajikistan'],Little Earth,2021-04-07 13:12:10,1.414,42,Anton,2021-04-07 13:12:10,"Missing Maps - vulnerable villages of Tajikistan - Zimtut, Ghazza, PadrudLittle EarthAnton['Tajikistan']",FALSE
2259,11114,10669,Refugee Site Mapping - Kalma -  Sudan,EASY,LOW,100,100,ARCHIVED,2021-07-27 7:49:14,,['Sudan'],CartONG,2021-04-08 6:25:07,12.549,340,Viou,2021-04-08 6:25:07,Refugee Site Mapping - Kalma -  SudanCartONGViou['Sudan'],FALSE
2261,11116,10694,Mapeamento de localidades ribeirinhas amazônicas no oeste município de Tefé - AM,MODERATE,LOW,100,100,ARCHIVED,2022-07-26 13:32:00,,['Brazil'],YouthMappers,2021-04-15 1:35:04,585.805,144,Rory Nealon,2021-04-15 1:35:04,Mapeamento de localidades ribeirinhas amazônicas no oeste município de Tefé - AMYouthMappersRory Nealon['Brazil'],FALSE
2274,11144,10752,"Mapping of Tavishi-Bolo and Tavish, Tajikistan",EASY,LOW,100,100,ARCHIVED,2022-01-31 12:51:22,,['Tajikistan'],Little Earth,2021-04-21 13:16:47,1.405,14,Anton,2021-04-21 13:16:47,"Mapping of Tavishi-Bolo and Tavish, TajikistanLittle EarthAnton['Tajikistan']",FALSE
2281,11162,10810,"COVID-19 Hukuntsi Districts 02-03-04, Botswana (MapSwiped)",EASY,LOW,100,100,ARCHIVED,2021-11-10 10:39:44,,['Botswana'],HOT,2021-05-03 10:01:57,31.624,40,Sam Colchester,2021-05-03 10:01:57,"COVID-19 Hukuntsi Districts 02-03-04, Botswana (MapSwiped)HOTSam Colchester['Botswana']",FALSE
2299,11184,10837,Tanzania Development Trust: #10837 Biharamulo Kagera Buildings -  - -  **Only buildings 101 training graduates please**,EASY,LOW,100,100,ARCHIVED,2021-11-13 13:58:20,,['Tanzania'],Tanzania Development Trust,2021-05-04 22:56:28,108.25,106,Emmor,2021-05-04 22:56:28,Tanzania Development Trust: #10837 Biharamulo Kagera Buildings -  - -  **Only buildings 101 training graduates please**Tanzania Development TrustEmmor['Tanzania'],FALSE
2309,11204,10864,Vietnam Mapping With AI,EASY,LOW,100,100,ARCHIVED,2021-12-17 12:08:53,,['Vietnam'],HOT,2021-05-06 6:53:02,172.164,100,David Luswata,2021-05-06 6:53:02,Vietnam Mapping With AIHOTDavid Luswata['Vietnam'],FALSE
2316,11220,10933,Multi Hazard Prone Jugal Rural Municipality Mapping,MODERATE,LOW,100,100,ARCHIVED,2022-01-16 6:15:39,,['Nepal'],Youth Innovation Lab,2021-05-20 10:53:01,595.06,53,Pradip khatiwada,2021-05-20 10:53:01,Multi Hazard Prone Jugal Rural Municipality MappingYouth Innovation LabPradip khatiwada['Nepal'],FALSE
2318,11222,10938,Map With AI Prescott Building Mapping,EASY,LOW,100,100,ARCHIVED,2023-06-09 14:10:34,,['United States'],Meta,2021-05-21 22:07:44,134.604,257,Jeff Underwood,2021-05-21 22:07:44,Map With AI Prescott Building MappingMetaJeff Underwood['United States'],FALSE
2319,11223,10942,"MISSING MAPS: Mapear edificios y carreteras en el este de Burundi, provincia  Cankuzo (IV)",EASY,LOW,100,100,ARCHIVED,2022-12-24 15:09:27,,['Burundi'],Spanish Red Cross,2021-05-24 9:19:35,694.812,290,Laura,2021-05-24 9:19:35,"MISSING MAPS: Mapear edificios y carreteras en el este de Burundi, provincia  Cankuzo (IV)Spanish Red CrossLaura['Burundi']",FALSE
2324,11232,11010,Refugee Site Mapping - Bambasi -  Ethiopia,EASY,LOW,100,100,ARCHIVED,2021-10-05 13:14:52,,['Ethiopia'],CartONG,2021-06-16 12:50:07,6.512,30,Eliot Sotty,2021-06-16 12:50:07,Refugee Site Mapping - Bambasi -  EthiopiaCartONGEliot Sotty['Ethiopia'],FALSE
2325,11233,11011,Open Cities - Guatemala: Baja Verapaz Este,EASY,LOW,100,100,ARCHIVED,2022-09-14 11:37:29,,['Guatemala'],HOT,2021-06-16 16:47:40,34.004,175,Edgar Lemus-Pablo,2021-06-16 16:47:40,Open Cities - Guatemala: Baja Verapaz EsteHOTEdgar Lemus-Pablo['Guatemala'],FALSE
2328,11237,11017,Kenya Red Cross: Mapping Tana River - Walesorhea for humanitarian programming,EASY,LOW,100,100,ARCHIVED,2022-03-03 9:04:26,,['Kenya'],OSM Kenya,2021-06-17 23:00:42,629.22,138,Laura Mugeha,2021-06-17 23:00:42,Kenya Red Cross: Mapping Tana River - Walesorhea for humanitarian programmingOSM KenyaLaura Mugeha['Kenya'],FALSE
2333,11244,11039,Sokoto State -Sabon Birni-Mapathon For Vulnerable Flood Disaster Communities in Nigeria-Sabon Birni Area -Sokoto,EASY,LOW,100,100,ARCHIVED,2023-05-17 17:14:55,2021-06-25 23:00:00,['Nigeria'],"Unique Mappers Network, Nigeria",2021-06-24 11:00:08,1232.796,1796,Victor N.Sunday,2021-06-24 11:00:08,"Sokoto State -Sabon Birni-Mapathon For Vulnerable Flood Disaster Communities in Nigeria-Sabon Birni Area -SokotoUnique Mappers Network, NigeriaVictor N.Sunday['Nigeria']",FALSE
2334,11245,11040,Refugee Site Mapping - Sheder - Ethiopia,EASY,LOW,100,100,ARCHIVED,2021-08-31 7:54:58,,['Ethiopia'],CartONG,2021-06-24 12:15:28,2.062,26,Mercier,2021-06-24 12:15:28,Refugee Site Mapping - Sheder - EthiopiaCartONGMercier['Ethiopia'],FALSE
2344,11258,11082,"Namayumba Town Council, Uganda",EASY,LOW,100,100,ARCHIVED,2021-09-22 4:23:21,,['Uganda'],MapUganda,2021-07-02 6:36:03,65.781,52,Allan Mbabani,2021-07-02 6:36:03,"Namayumba Town Council, UgandaMapUgandaAllan Mbabani['Uganda']",FALSE
2346,11260,11084,"Roads of Guaramiranga, Ceará (CE), Brazil",EASY,LOW,100,100,ARCHIVED,2021-07-29 13:56:14,,['Brazil'],OSM Brasil,2021-07-02 18:47:00,90.816,15,Matheus Gomes,2021-07-02 18:47:00,"Roads of Guaramiranga, Ceará (CE), BrazilOSM BrasilMatheus Gomes['Brazil']",FALSE
2362,11278,11146,"Philippine Red Cross - Abihao, Baras, Catanduanes, Philippines - Buildings",EASY,LOW,100,100,ARCHIVED,2021-08-27 6:35:09,,['Philippines'],MapBeks,2021-07-21 15:32:58,0.667,22,Madaam,2021-07-21 15:32:58,"Philippine Red Cross - Abihao, Baras, Catanduanes, Philippines - BuildingsMapBeksMadaam['Philippines']",FALSE
2364,11280,11151,Open Cities - Guatemala: Huehuetenango - San Mateo Ixtatán & San Sebastián Coatán,EASY,LOW,100,100,ARCHIVED,2021-12-13 9:53:31,,['Guatemala'],HOT,2021-07-22 14:47:59,8.471,331,Sam Colchester,2021-07-22 14:47:59,Open Cities - Guatemala: Huehuetenango - San Mateo Ixtatán & San Sebastián CoatánHOTSam Colchester['Guatemala'],FALSE
2365,11282,11157,Open Cities - Guatemala: Huehuetenango - Soloma & San Juan Ixcoy,MODERATE,LOW,100,100,ARCHIVED,2022-02-28 12:48:52,,['Guatemala'],HOT,2021-07-23 11:05:16,13.532,85,Sam Colchester,2021-07-23 11:05:16,Open Cities - Guatemala: Huehuetenango - Soloma & San Juan IxcoyHOTSam Colchester['Guatemala'],FALSE
2372,11295,11187,Malawi- Mapping for People Living in Protracted Crisis- Dzaleka Refugee Camp,MODERATE,LOW,100,100,ARCHIVED,2023-03-27 20:42:25,,['Malawi'],MapMalawi,2021-07-25 18:25:17,1.567,142,Zola Manyungwa,2021-07-25 18:25:17,Malawi- Mapping for People Living in Protracted Crisis- Dzaleka Refugee CampMapMalawiZola Manyungwa['Malawi'],FALSE
2373,11296,11188,Open Cities - Guatemala: Huehuetenango - San Miguel Acatán & Jacaltenango,MODERATE,LOW,100,100,ARCHIVED,2023-01-18 8:05:41,,['Guatemala'],HOT,2021-07-26 9:35:24,5.658,65,Sam Colchester,2021-07-26 9:35:24,Open Cities - Guatemala: Huehuetenango - San Miguel Acatán & JacaltenangoHOTSam Colchester['Guatemala'],FALSE
2374,11298,11199,Open Cities - Guatemala: Huehuetenango - San Antonio Huista & Santa Ana Huista,EASY,LOW,100,100,ARCHIVED,2022-01-13 14:58:55,,['Guatemala'],HOT,2021-07-27 9:40:04,8.891,154,Sam Colchester,2021-07-27 9:40:04,Open Cities - Guatemala: Huehuetenango - San Antonio Huista & Santa Ana HuistaHOTSam Colchester['Guatemala'],FALSE
2376,11300,11201,Open Cities - Guatemala: Huehuetenango - Todos Santos Cuchumatán,EASY,LOW,100,100,ARCHIVED,2022-01-03 11:58:27,,['Guatemala'],HOT,2021-07-27 10:43:45,5.932,248,Sam Colchester,2021-07-27 10:43:45,Open Cities - Guatemala: Huehuetenango - Todos Santos CuchumatánHOTSam Colchester['Guatemala'],FALSE
2377,11301,11202,"Open Cities - Guatemala: Huehuetenango - Petatán, Unión Cantinil & Concepción Huista",EASY,LOW,100,100,ARCHIVED,2022-10-31 13:47:33,,['Guatemala'],HOT,2021-07-27 11:03:19,5.372,274,Sam Colchester,2021-07-27 11:03:19,"Open Cities - Guatemala: Huehuetenango - Petatán, Unión Cantinil & Concepción HuistaHOTSam Colchester['Guatemala']",FALSE
2388,11315,11256,Kambolé_Map,MODERATE,LOW,100,100,ARCHIVED,2022-03-30 5:54:27,,['Togo'],OSM Togo,2021-08-09 10:46:28,0.068,5,KASSALOUWA,2021-08-09 10:46:28,Kambolé_MapOSM TogoKASSALOUWA['Togo'],FALSE
2390,11319,11264,"Ogwashi-Ukwu Road Mapping for  SDGs  in Aniocha  South LGA,Delta State,Nigeria-Ogwashi-Ukwu Road Map",EASY,LOW,100,100,ARCHIVED,2023-07-02 21:57:12,2021-08-15 23:00:00,['Nigeria'],"Unique Mappers Network, Nigeria",2021-08-12 15:45:34,19.665,275,Victor N.Sunday,2021-08-12 15:45:34,"Ogwashi-Ukwu Road Mapping for  SDGs  in Aniocha  South LGA,Delta State,Nigeria-Ogwashi-Ukwu Road MapUnique Mappers Network, NigeriaVictor N.Sunday['Nigeria']",FALSE
2391,11320,11265,Algeria Wildfires 2021 - West of Toudja Buildings,MODERATE,LOW,100,100,ARCHIVED,2021-10-18 23:09:17,2021-08-22 6:00:00,['Algeria'],HOT,2021-08-13 18:35:31,37.895,41,Russell Deffner,2021-08-13 18:35:31,Algeria Wildfires 2021 - West of Toudja BuildingsHOTRussell Deffner['Algeria'],FALSE
2392,11321,11266,Haiti Earthquake 2021 - Buildings near Epicenter,EASY,LOW,100,100,ARCHIVED,2021-11-24 10:05:55,2021-08-22 6:00:00,['Haiti'],HOT,2021-08-14 17:43:12,78.71,86,Russell Deffner,2021-08-14 17:43:12,Haiti Earthquake 2021 - Buildings near EpicenterHOTRussell Deffner['Haiti'],FALSE
2420,11350,11325,OSM Malawi- Mapping for Disaster Response- Likoma and Chizumulu Island,EASY,LOW,100,100,ARCHIVED,2022-10-05 3:45:19,,['Malawi'],OSM Malawi,2021-08-27 18:39:30,21.056,58,Zola Manyungwa,2021-08-27 18:39:30,OSM Malawi- Mapping for Disaster Response- Likoma and Chizumulu IslandOSM MalawiZola Manyungwa['Malawi'],FALSE
2423,11353,11343,Kiribati - West Islands,MODERATE,LOW,100,100,ARCHIVED,2022-12-28 13:48:46,,[],Open Mapping Hub Asia-Pacific,2021-09-03 4:59:22,1166.779,86,Madaam,2021-09-03 4:59:22,Kiribati - West IslandsOpen Mapping Hub Asia-PacificMadaam[],FALSE
2426,11357,11356,,EASY,LOW,100,100,ARCHIVED,2022-08-27 22:39:26,,['Sudan'],Spanish Red Cross,2021-09-06 9:23:24,1288.566,113,Laura,2021-09-06 9:23:24,Spanish Red CrossLaura['Sudan'],FALSE
2427,11358,11357,Refugee Site Mapping - Sherkole - Ethiopia,EASY,LOW,100,100,ARCHIVED,2021-10-22 15:09:55,,['Ethiopia'],CartONG,2021-09-06 12:43:42,1.374,19,Sorensa,2021-09-06 12:43:42,Refugee Site Mapping - Sherkole - EthiopiaCartONGSorensa['Ethiopia'],FALSE
2445,11378,11409,"Mnadani Community Mapping - Mnadani and Karume Subward, Dodoma, Tanzania",EASY,LOW,100,100,ARCHIVED,2023-02-19 15:44:02,,['Tanzania'],OpenMap Development Tanzania,2021-09-12 18:15:39,3.548,54,Amour Nyalusi,2021-09-12 18:15:39,"Mnadani Community Mapping - Mnadani and Karume Subward, Dodoma, TanzaniaOpenMap Development TanzaniaAmour Nyalusi['Tanzania']",FALSE
2448,11381,11413,"Amoyai Parish, Otuke District, Uganda",EASY,LOW,100,100,ARCHIVED,2021-11-18 2:36:14,,['Uganda'],MapUganda,2021-09-13 6:38:39,27.833,21,Allan Mbabani,2021-09-13 6:38:39,"Amoyai Parish, Otuke District, UgandaMapUgandaAllan Mbabani['Uganda']",FALSE
2457,11392,11460,Refugee Site Mapping - Tongogara - Zimbabwe,EASY,LOW,100,100,ARCHIVED,2021-09-27 10:02:32,,['Zimbabwe'],CartONG,2021-09-16 14:19:17,1.865,19,Eliot Sotty,2021-09-16 14:19:17,Refugee Site Mapping - Tongogara - ZimbabweCartONGEliot Sotty['Zimbabwe'],FALSE
2497,11464,11722,West Butembo - buildings update,MODERATE,LOW,100,100,ARCHIVED,2021-11-25 6:55:57,,['Democratic Republic of the Congo'],OSM RDC,2021-10-27 15:12:38,39.549,37,clairedelune,2021-10-27 15:12:38,West Butembo - buildings updateOSM RDCclairedelune['Democratic Republic of the Congo'],FALSE
2499,11470,11760,East Samoa - Buildings,EASY,LOW,100,100,ARCHIVED,2022-05-04 3:03:23,,['Samoa'],Open Mapping Hub Asia-Pacific,2021-11-08 1:51:31,299.278,21,Madaam,2021-11-08 1:51:31,East Samoa - BuildingsOpen Mapping Hub Asia-PacificMadaam['Samoa'],FALSE
2500,11480,11778,MAPA-Bulig: Guiding the Youth to Community Mapping (Sogod),EASY,LOW,100,100,ARCHIVED,2023-12-03 2:54:01,,['Philippines'],OSM Philippines,2021-11-10 4:57:35,219.646,142,Feye Andal,2021-11-10 4:57:35,MAPA-Bulig: Guiding the Youth to Community Mapping (Sogod)OSM PhilippinesFeye Andal['Philippines'],FALSE
2503,11490,11805,Villages in upper Kuhistoni Mastcho District for rural electrification,EASY,LOW,100,100,ARCHIVED,2022-02-03 12:57:37,,['Tajikistan'],Little Earth,2021-11-16 10:59:05,1.394,58,naranjasol,2021-11-16 10:59:05,Villages in upper Kuhistoni Mastcho District for rural electrificationLittle Earthnaranjasol['Tajikistan'],FALSE
2504,11498,11813,Villages in Ishkashim District (GBAO) for water supply systems,EASY,LOW,100,100,ARCHIVED,2022-11-14 6:20:50,,['Tajikistan'],Little Earth,2021-11-16 12:11:27,1.757,55,naranjasol,2021-11-16 12:11:27,Villages in Ishkashim District (GBAO) for water supply systemsLittle Earthnaranjasol['Tajikistan'],FALSE
2505,11499,11814,Villages in Afghanistan for building water supply systems in rural settlements,EASY,LOW,100,100,ARCHIVED,2024-08-27 3:34:07,,['Afghanistan'],Little Earth,2021-11-16 12:32:10,4.51,156,naranjasol,2021-11-16 12:32:10,Villages in Afghanistan for building water supply systems in rural settlementsLittle Earthnaranjasol['Afghanistan'],FALSE
2507,11502,11817,Refugee Site Mapping - Mantapala - Zambia,EASY,LOW,100,100,ARCHIVED,2022-03-29 8:47:37,,['Zambia'],CartONG,2021-11-17 11:54:41,12.778,31,Eliot Sotty,2021-11-17 11:54:41,Refugee Site Mapping - Mantapala - ZambiaCartONGEliot Sotty['Zambia'],FALSE
2520,11530,11856,Izu-Oshima Disaster Preparedness Mapping 2021 Motomachi 01,EASY,LOW,100,100,ARCHIVED,2023-03-09 10:55:02,2022-03-30 15:00:00,['Japan'],Crisis Mappers Japan,2021-11-27 11:18:41,0.569,26,Taichi Furuhashi,2021-11-27 11:18:41,Izu-Oshima Disaster Preparedness Mapping 2021 Motomachi 01Crisis Mappers JapanTaichi Furuhashi['Japan'],FALSE
2522,11539,11879,"Cartographie de la CommuCartographie des bâtiments dans la Commune Antoby-Est, qui se situe dans le  District de Miarinarivo Région Itasyne Antoby-Est, qui se situe dans le  District de Miarinarivo Région Itasy",EASY,LOW,100,99,ARCHIVED,2022-12-31 0:39:50,,['Madagascar'],OSM Madagascar,2021-12-01 22:21:54,99.427,22,RAKOTOSON Nambinintsoa Rananja,2021-12-01 22:21:54,"Cartographie de la CommuCartographie des bâtiments dans la Commune Antoby-Est, qui se situe dans le  District de Miarinarivo Région Itasyne Antoby-Est, qui se situe dans le  District de Miarinarivo Région ItasyOSM MadagascarRAKOTOSON Nambinintsoa Rananja['Madagascar']",FALSE
2526,11548,11899,Hissor for tourism development in Tajikistan,EASY,LOW,100,100,ARCHIVED,2022-02-28 10:21:32,,['Tajikistan'],Little Earth,2021-12-09 22:56:13,8.35,45,naranjasol,2021-12-09 22:56:13,Hissor for tourism development in TajikistanLittle Earthnaranjasol['Tajikistan'],FALSE
2527,11549,11901,"US Tornado Outbreak - Bowling Green, Kentucky",EASY,LOW,100,100,ARCHIVED,2022-01-03 10:53:40,2021-12-14 5:00:00,['United States'],Help.NGO,2021-12-11 20:10:48,49.56,115,Matthew  Cua,2021-12-11 20:10:48,"US Tornado Outbreak - Bowling Green, KentuckyHelp.NGOMatthew  Cua['United States']",FALSE
2528,11551,11908,OSM Madagascar - Mise à jour de la cartographie de Tuléar,MODERATE,LOW,100,100,ARCHIVED,2022-06-22 14:36:51,,['Madagascar'],CartONG,2021-12-13 13:27:40,4.166,41,naranjasol,2021-12-13 13:27:40,OSM Madagascar - Mise à jour de la cartographie de TuléarCartONGnaranjasol['Madagascar'],FALSE
2531,11556,11922,Typhoon Odette: Dinagat Islands (Land Use and Roads),EASY,LOW,99,99,ARCHIVED,2022-02-02 3:40:43,,['Philippines'],OSM Philippines,2021-12-16 4:01:30,801.734,327,Feye Andal,2021-12-16 4:01:30,Typhoon Odette: Dinagat Islands (Land Use and Roads)OSM PhilippinesFeye Andal['Philippines'],FALSE
2532,11565,11935,Open Cities - Guatemala: Izabal - Puerto Barrios Este 1,EASY,LOW,100,100,ARCHIVED,2022-02-03 2:41:31,,['Guatemala'],HOT,2021-12-22 10:56:50,1.475,12,Sam Colchester,2021-12-22 10:56:50,Open Cities - Guatemala: Izabal - Puerto Barrios Este 1HOTSam Colchester['Guatemala'],FALSE
2539,11586,11964,"Amugu SubCounty, Alebtong District, Uganda",EASY,LOW,100,100,ARCHIVED,2022-07-05 14:49:48,,['Uganda'],MapUganda,2022-01-04 12:44:41,148.086,56,Ronald Oyom,2022-01-04 12:44:41,"Amugu SubCounty, Alebtong District, UgandaMapUgandaRonald Oyom['Uganda']",FALSE
2542,11591,11974,"Imagery for Social Good - Biashara Ward Nakuru, Kenya ",EASY,LOW,100,100,ARCHIVED,2022-02-01 8:46:42,,['Kenya'],HOT,2022-01-05 18:23:39,5.533,6,Shamillah Nassozi,2022-01-05 18:23:39,"Imagery for Social Good - Biashara Ward Nakuru, Kenya HOTShamillah Nassozi['Kenya']",FALSE
2543,11592,11978,"Rural development project - Jacmel and Bainet valley, Southeast of Haïti",EASY,LOW,100,100,ARCHIVED,2022-03-17 11:25:41,,['Haiti'],CartONG,2022-01-07 10:32:15,132.301,61,Eliot Sotty,2022-01-07 10:32:15,"Rural development project - Jacmel and Bainet valley, Southeast of HaïtiCartONGEliot Sotty['Haiti']",FALSE
2544,11593,11980,Qushtapa_Erbil_Flood_2022,EASY,LOW,100,100,ARCHIVED,2022-03-08 10:16:51,2022-02-27 21:00:00,['Iraq'],OSM Kurdistan,2022-01-08 7:23:04,2.603,95,Mohammed Faisal,2022-01-08 7:23:04,Qushtapa_Erbil_Flood_2022OSM KurdistanMohammed Faisal['Iraq'],FALSE
2552,11602,11995,Résilience et sécurité alimentaire - SIF - District de Mormbe #4  - Madagascar,EASY,LOW,100,100,ARCHIVED,2022-02-03 13:11:38,,['Madagascar'],CartONG,2022-01-13 15:40:11,3173.161,91,Viou,2022-01-13 15:40:11,Résilience et sécurité alimentaire - SIF - District de Mormbe #4  - MadagascarCartONGViou['Madagascar'],FALSE
2556,11606,12000,"Mapping Nutrition Interventions and Most Vulnerable in Kitendaguro, Bukoba Municipal",EASY,LOW,100,100,ARCHIVED,2023-04-24 9:06:10,,['Tanzania'],OpenMap Development Tanzania,2022-01-17 15:02:01,7.476,31,Amour Nyalusi,2022-01-17 15:02:01,"Mapping Nutrition Interventions and Most Vulnerable in Kitendaguro, Bukoba MunicipalOpenMap Development TanzaniaAmour Nyalusi['Tanzania']",FALSE
2568,11620,12033,GUINEA_RIPOSTE STOP COVID 19_CONAKRY_MATAM,EASY,LOW,100,100,ARCHIVED,2022-07-15 15:36:23,,['Guinea'],Geosynapse Guinea,2022-01-25 22:51:01,7.552,78,Amara,2022-01-25 22:51:01,GUINEA_RIPOSTE STOP COVID 19_CONAKRY_MATAMGeosynapse GuineaAmara['Guinea'],FALSE
2569,11621,12034,Guinea-Mapping-Mali,EASY,LOW,100,100,ARCHIVED,2022-07-15 15:35:57,,['Guinea'],Geosynapse Guinea,2022-01-25 23:48:24,511.177,13,Amara,2022-01-25 23:48:24,Guinea-Mapping-MaliGeosynapse GuineaAmara['Guinea'],FALSE
2571,11623,12038,Bogoso-Apiatse Explosion Crisis Mapping,EASY,LOW,100,100,ARCHIVED,2022-02-17 3:08:36,,['Ghana'],OSM Ghana,2022-01-27 9:12:25,58.01,78,Samuel Darkwah Manu,2022-01-27 9:12:25,Bogoso-Apiatse Explosion Crisis MappingOSM GhanaSamuel Darkwah Manu['Ghana'],FALSE
2578,11630,12055,Mapping of the Debre Tabor region - Ethiopia,EASY,LOW,100,100,ARCHIVED,2022-06-10 12:39:45,,['Ethiopia'],CartONG,2022-01-31 13:16:34,758.145,106,Eliot Sotty,2022-01-31 13:16:34,Mapping of the Debre Tabor region - EthiopiaCartONGEliot Sotty['Ethiopia'],FALSE
2590,11644,12080,"Impact of ANA & BATSIRAI Cyclones - Mahanoro, Toamasina, Madagascar",MODERATE,LOW,100,100,ARCHIVED,2022-03-17 9:40:29,2022-03-30 21:00:00,['Madagascar'],OSM Madagascar,2022-02-08 10:24:59,1861.375,746,Brice Ramamonjy,2022-02-08 10:24:59,"Impact of ANA & BATSIRAI Cyclones - Mahanoro, Toamasina, MadagascarOSM MadagascarBrice Ramamonjy['Madagascar']",FALSE
2596,11650,12086,Grande Plaine - Haïti,EASY,LOW,100,100,ARCHIVED,2022-04-20 14:15:03,,['Haiti'],CartONG,2022-02-08 12:43:31,59.895,39,Eliot Sotty,2022-02-08 12:43:31,Grande Plaine - HaïtiCartONGEliot Sotty['Haiti'],FALSE
2597,11651,12087,Household Level Risk Assessment Tool in Bheemdutta Municipality,MODERATE,LOW,99,99,ARCHIVED,2024-10-29 2:36:33,2022-03-12 18:15:00,['Nepal'],NAXA,2022-02-09 8:08:54,171.246,12,OSMNAXA,2022-02-09 8:08:54,Household Level Risk Assessment Tool in Bheemdutta MunicipalityNAXAOSMNAXA['Nepal'],FALSE
2639,11698,12179,Refugee Site Mapping - Oure Cassoni - Chad,EASY,LOW,100,100,ARCHIVED,2022-04-01 14:35:31,,['Chad'],CartONG,2022-02-22 10:39:42,4.818,31,Eliot Sotty,2022-02-22 10:39:42,Refugee Site Mapping - Oure Cassoni - ChadCartONGEliot Sotty['Chad'],FALSE
2653,11725,12233,Kenya Schools Nyeri,MODERATE,LOW,100,100,ARCHIVED,2022-03-17 17:21:34,,['Kenya'],Tanzania Development Trust,2022-03-01 23:54:59,120.673,4,Emmor,2022-03-01 23:54:59,Kenya Schools NyeriTanzania Development TrustEmmor['Kenya'],FALSE
2654,11726,12256,Refugee Site Mapping - Iridimi - Chad,EASY,LOW,100,100,ARCHIVED,2022-04-25 12:36:54,,['Chad'],CartONG,2022-03-04 14:48:51,4.541,78,Sorensa,2022-03-04 14:48:51,Refugee Site Mapping - Iridimi - ChadCartONGSorensa['Chad'],FALSE
2658,11741,12315,"Imagery for Social Good - Bauchi, Nigeria",EASY,LOW,99,99,ARCHIVED,2023-12-31 14:19:13,,['Nigeria'],HOT,2022-03-14 13:55:39,3218.881,27,DUNCAN KEBUT,2022-03-14 13:55:39,"Imagery for Social Good - Bauchi, NigeriaHOTDUNCAN KEBUT['Nigeria']",FALSE
2663,11753,12359,"Urban Water Scarcity, Enugu, Nigeria: Enugu Basemap",EASY,LOW,100,100,ARCHIVED,2023-03-23 14:36:18,2022-04-29 23:00:00,['Nigeria'],GRDCentre,2022-03-28 11:15:53,99.383,41,Anthonia Onyeahialam,2022-03-28 11:15:53,"Urban Water Scarcity, Enugu, Nigeria: Enugu BasemapGRDCentreAnthonia Onyeahialam['Nigeria']",FALSE
2672,11771,12382,Refugee Site Mapping - Lebanon,EASY,LOW,100,100,ARCHIVED,2022-04-29 9:04:36,,['Lebanon'],CartONG,2022-03-31 12:52:52,2.848,57,Eliot Sotty,2022-03-31 12:52:52,Refugee Site Mapping - LebanonCartONGEliot Sotty['Lebanon'],FALSE
2677,11780,12405,"Otachi, Moldova, 2022",EASY,LOW,100,100,ARCHIVED,2023-03-09 10:57:43,2023-08-30 15:00:00,['Moldova'],Crisis Mappers Japan,2022-04-06 3:46:40,9.905,49,Taichi Furuhashi,2022-04-06 3:46:40,"Otachi, Moldova, 2022Crisis Mappers JapanTaichi Furuhashi['Moldova']",FALSE
2686,11814,12466,Banepa Municipality Ward-2,EASY,LOW,100,100,ARCHIVED,2022-09-20 5:00:23,,['Nepal'],Geomatics Engineering Society,2022-04-15 15:40:38,7.829,16,Pragya Pant,2022-04-15 15:40:38,Banepa Municipality Ward-2Geomatics Engineering SocietyPragya Pant['Nepal'],FALSE
2687,11815,12472,"IMAGERY FOR SOCIAL GOOD - WARJI LGA, NIGERIA",EASY,LOW,100,100,ARCHIVED,2023-11-07 15:00:32,,['Nigeria'],HOT,2022-04-19 13:37:46,161.552,20,Shamillah Nassozi,2022-04-19 13:37:46,"IMAGERY FOR SOCIAL GOOD - WARJI LGA, NIGERIAHOTShamillah Nassozi['Nigeria']",FALSE
